creat_time	state	fw	text	likes	views	age
2023-11-29 11:12:11	Bund		"Dekadenz pur: Ampel fliegt mit hunderten Mitarbeitern zur „Klimakonferenz“!

Entrückter und abgehobener vom Volk kann man kaum sein: Während Deutschland in eine Wirtschaftskrise schlittert und die Menschen ihre Arbeitsplätze verlieren, fliegt die Ampel-Regierung mit mehr als 250 Mitarbeitern zur „Weltklimakonferenz“ nach Dubai. Allein das Wirtschaftsministerium von Robert Habeck entsendet 47 Personen. Wie hoch die Gesamtkosten für den Mega-Ausflug sind, teilt die Bundesregierung nicht mit. Eine AfD-Regierung wird auf derartige Geldverschwendung verzichten und stattdessen dafür sorgen, dass Infrastruktur, Gesundheitssystem und Familienförderung verbessert werden!"	451.0	4528	24.866466761944444
2023-11-29 10:42:41	Bund	pboehringer	"**Ein Hauch von Weimar | Bundestag 28.11.2023**
Rede Peter Boehringer: Generaldebatte zur Haushaltskrise 2023/24 
https://www.youtube.com/watch?v=P0TZTrYPMNE 

Script bzw. Redetext hier. Es gilt das gesprochene Wort: https://www.pboehringer.de/ein-hauch-von-weimar 

* * * 
**Kanal abonnieren:**   
https://t.me/pboehringer"	241.0	3395	25.35813482888889
2023-11-28 19:00:20	Bund		"+++ So einfach löst die #afd die #staatskrise! #weidel #bundestag #scholz #ampel #habeck #rücktritt +++


https://www.youtube.com/watch?v=YbRLaXk-R0U"	412.0	4246	41.06396899805556
2023-11-28 18:01:57	Bund		"+++ Die #Ampel hat nicht zu wenig Geld, sie hat zu viel - und kann nicht damit umgehen! #weidel #afd +++


https://www.youtube.com/watch?v=Qa0sa_Y-Uqk"	360.0	4252	42.037025345
2023-11-28 17:02:17	Bund		"+++ Endgültige Abrechnung mit der #Ampel! #weidel #scholz #habeck #baerbock #lindner #afd #bundestag +++


https://www.youtube.com/watch?v=f-HxLyrab3k"	385.0	4171	43.03147058083333
2023-11-28 16:00:40	Bund		"+++ Wer heute noch arbeiten geht, ist der Dumme! #weidel #afd #bürgergeld #bundestag #deutschland +++


https://www.youtube.com/watch?v=I6Exsc6nHvA"	398.0	4260	44.05841581861111
2023-11-28 15:02:50	Bund		"+++ Die Bürger warten auf Ihren #Rücktritt, Herr #scholz!  #afd #bundestag #ampel #weidel #migration +++


https://www.youtube.com/watch?v=Ro6Xtvx6bCM"	429.0	4092	45.022305494444446
2023-11-28 14:00:54	Bund		"+++ Was haben Sie da auf unser Volk losgelassen? #shorts #weidel #ampel #scholz #afd #rücktritt +++


https://www.youtube.com/watch?v=z8mpt_GEs3s"	399.0	4147	46.05452848666667
2023-11-28 13:02:22	Bund		"+++ Die Deindustrialisierung läuft - es ist allein die Schuld der Ampel!  #afd #deutschland #habeck +++


https://www.youtube.com/watch?v=T5imqtNI2J0"	396.0	4349	47.03008482111111
2023-11-28 10:37:08	Bund		"+++ Der Weidel-Hammer im Bundestag: ""Was haben Sie da auf unser Volk losgelassen?"" +++

Die Antwort unserer Bundessprecherin Alice #Weidel auf die Regierungserklärung von Olaf #Scholz hatte es in sich: Sie räumte auf mit sämtlichen Versäumnissen der Ampel und zeigte auf, wie eine Regierungspolitik aussähe, die von der #AfD bestimmt wird. Anschauen und teilen ausdrücklich erwünscht!
https://www.youtube.com/watch?v=N0R_bAITYBA"	543.0	8043	49.45064117388889
